applotnumber,country,receivedlotdate,procest,procestname,haccpcode,productcategory,species,finalweightrefused,refusalreasons,failedtoi,defect
2156513-1,MEXICO,11/19/2021,148,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03G,RTE fully-cooked meat,Pork,44,Invalid Shipping Mark/ Other,,Illegible Shipping Marks/ Other
2126513-1,CHILE,11/19/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,0,Other,,Other
2111591-4,AUSTRALIA,11/19/2021,203,Stanbroke Beef Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2159536-1,NEW ZEALAND,11/19/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
2147254-2,MEXICO,11/19/2021,300,"Consorcio Internacional de Carnes, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2147254-3,MEXICO,11/19/2021,300,"Consorcio Internacional de Carnes, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2148920-2,CANADA,11/19/2021,80,"Atrahan Transformation, Inc.",03C,Raw intact pork,Pork,2255,Shipping Damage,,"Torn, exposed"
2147940-3,AUSTRALIA,11/20/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,56,Shipping Damage,,"Crushed, blood stained"
2147940-5,AUSTRALIA,11/20/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,47,Shipping Damage,,"Crushed, blood stained"
2147940-6,AUSTRALIA,11/20/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,112,Shipping Damage,,"Crushed, blood stained"
1910897-1,BRAZIL,11/20/2021,4333,JBS S/A,03C,Raw intact beef,Beef,106,Shipping Damage,,"Torn, exposed"
2154942-4,MEXICO,11/20/2021,111,"Ganaderia Integral Vizur, S.A. de C.V.",03C,Raw intact beef,Beef,38,Shipping Damage,,"Torn, exposed"
2140971-1,AUSTRALIA,11/20/2021,384,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2053413-1,AUSTRALIA,11/20/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,110,Shipping Damage,,"Crushed, blood stained"
2053413-2,AUSTRALIA,11/20/2021,195,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,105,Shipping Damage,,"Crushed, blood stained"
2156962-1,MEXICO,11/20/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03C,Raw intact beef,Beef,73,Shipping Damage,,"Torn, exposed"
2156931-1,MEXICO,11/20/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,58,Shipping Damage,,"Torn, exposed"
2160154-2,CANADA,11/20/2021,270A,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
2147932-5,AUSTRALIA,11/20/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
2147934-5,AUSTRALIA,11/20/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,29,Shipping Damage,,"Crushed, blood stained"
2147934-7,AUSTRALIA,11/20/2021,205,Greenham Gippsland Pty Ltd,03C,Raw intact beef,Beef,40,Shipping Damage,,"Crushed, blood stained"
2159992-1,CANADA,11/20/2021,270A,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,60,Shipping Damage,,"Torn, exposed"
2160122-2,CANADA,11/20/2021,270A,Olymel S.E.C./Olymel L.P.,03C,Raw intact pork,Pork,1847,Shipping Damage,,"Torn, exposed"
2130389-1,VIETNAM,11/22/2021,DL147,Vinh Hoan Corporation (VINH HOAN CORP),03C,Raw intact meat - other,Siluriformes - Other,44250,Invalid Inspection Certificate,,Inspection certificate issues
2119168-1,POLAND,11/22/2021,32620201,Animex Foods Sp. zo.o. ul T. Chalubinskiego,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,33,Invalid Shipping Mark,,Missing Shipping Mark
2160818-1,CANADA,11/22/2021,721,1662864 Ontario Ltd.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,709,Failed Type of Inspection (Y),Label Verification,Container labeling issues
2160818-3,CANADA,11/22/2021,721,1662864 Ontario Ltd.,03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,709,Failed Type of Inspection (Y),Label Verification,Container labeling issues
2045188-1,BRAZIL,11/22/2021,4400,JBS S/A,03C,Raw intact beef,Beef,55,Invalid Shipping Mark,,Missing Shipping Mark
2045187-1,BRAZIL,11/22/2021,4400,JBS S/A,03C,Raw intact beef,Beef,55,Invalid Shipping Mark,,Missing Shipping Mark
1932773-1,UNITED KINGDOM,11/22/2021,2172,"Foyle Food Group, Foyle Gloucester",03C,Raw intact beef,Beef,35106,Invalid Inspection Certificate,,Inspection certificate issues
1932773-2,UNITED KINGDOM,11/22/2021,2172,"Foyle Food Group, Foyle Gloucester",03C,Raw intact beef,Beef,17883,Invalid Inspection Certificate,,Inspection certificate issues
2118789-1,BRAZIL,11/22/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
2075746-1,VIETNAM,11/22/2021,DL500,Workshop 3 - VINH HOAN CORP,03C,Raw intact meat - other,Siluriformes - Other,45,Shipping Damage,,"Torn, exposed"
2099279-1,DENMARK,11/22/2021,65,Danish Crown Foods A/S (also T/A Tulip Food Company),03D,"Thermally processed, commercially sterile",Pork,18,Shipping Damage,,"Torn, exposed"
2157520-1,MEXICO,11/22/2021,519,"CPD Alimentos, S.A. de C.V.",03C,Raw intact beef,Beef,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
2147927-1,AUSTRALIA,11/22/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,85,Shipping Damage,,"Torn, exposed"
2147927-5,AUSTRALIA,11/22/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,79,Shipping Damage,,"Torn, exposed"
2147927-6,AUSTRALIA,11/22/2021,716,Greenham Tasmania Pty Ltd,03C,Raw intact beef,Beef,33,Shipping Damage,,"Torn, exposed"
2094620-1,URUGUAY,11/22/2021,74,Frigosalto (Somicar S.A.),03C,Raw intact beef,Beef,88,Invalid Shipping Mark,,Missing Shipping Mark
2094620-2,URUGUAY,11/22/2021,74,Frigosalto (Somicar S.A.),03C,Raw intact beef,Beef,87,Invalid Shipping Mark,,Missing Shipping Mark
2127420-3,NEW ZEALAND,11/22/2021,SPM135,South Pacific Meats Limited,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
2160770-1,MEXICO,11/22/2021,66,"Frigorifico Agropecuaria Sonorense, S. de R.L. de C.V.",03C,Raw intact pork,Pork,61,Invalid Shipping Mark,,Missing Shipping Mark
2132507-1,DENMARK,11/22/2021,338,Tican Fresh Meat A/S & Cold Storage,03C,Raw intact pork,Pork,22,Shipping Damage,,"Torn, exposed"
2149986-2,CANADA,11/22/2021,1,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03G,RTE fully-cooked meat,Pork,8,Failed Type of Inspection (Y)/ Invalid Shipping Mark,Label Verification,Container labeling issues/ Missing Shipping Mark
2156401-1,UNITED KINGDOM,11/22/2021,2060,Karro Food Ltd,03C,Raw intact pork,Pork,53,Shipping Damage,,"Torn, exposed"
2118837-1,BRAZIL,11/22/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2134198-1,NEW ZEALAND,11/22/2021,ME52,Silver Fern Farms Limited - Pacific,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2125956-1,SPAIN,11/22/2021,36,"Esteban Espuna, S.A.",03E,RTE acidified / fermented meat (without cooking),Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
2125957-1,SPAIN,11/22/2021,43,Esteban Espuna S.A.,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
2125957-2,SPAIN,11/22/2021,43,Esteban Espuna S.A.,03G,RTE meat fully-cooked without subsequent exposure to the environment,Pork,0,Invalid Inspection Certificate,,Inspection certificate issues
2124259-1,NEW ZEALAND,11/22/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2143965-1,AUSTRALIA,11/22/2021,294,Teys Australia Beenleigh Pty Ltd,03C,Raw intact beef,Beef,122,Shipping Damage,,"Crushed, blood stained"
2124204-1,NEW ZEALAND,11/22/2021,ME124,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2094907-1,AUSTRALIA,11/22/2021,640,Kilcoy Pastoral Company Ltd,03C,Raw intact beef,Beef,33,Shipping Damage,,"Crushed, blood stained"
2099293-2,AUSTRALIA,11/23/2021,53,Frew Foods International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,43,Shipping Damage,,"Crushed, blood stained"
2134204-1,AUSTRALIA,11/23/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
2118974-1,BRAZIL,11/23/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,240,Invalid Shipping Mark,,Illegible Shipping Marks
2118975-1,BRAZIL,11/23/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,540,Invalid Shipping Mark,,Illegible Shipping Marks
2140130-1,CHILE,11/23/2021,608,Faenadora San Vicente Ltda.,03B,"Raw ground, comminuted, or otherwise non-intact chicken",Chicken,40,Invalid Shipping Mark,,Missing Shipping Mark
2058044-1,URUGUAY,11/23/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,240,Shipping Damage,,"Torn, exposed"
2058044-2,URUGUAY,11/23/2021,8,Frigorifico Canelones S.A.,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
2152768-1,NEW ZEALAND,11/23/2021,ME82,Greenlea Premier Meats Limited,03C,Raw intact beef,Beef,180,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
2134199-1,AUSTRALIA,11/23/2021,486,E C Throsby,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2148944-1,UNITED KINGDOM,11/23/2021,9052,Karro Food Group,03C,Raw intact pork,Pork,850,Invalid Shipping Mark,,Missing Shipping Mark
2111219-1,AUSTRALIA,11/23/2021,291,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,127,Shipping Damage,,"Crushed, blood stained"
2166976-4,AUSTRALIA,11/23/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,90,Shipping Damage,,"Torn, exposed"
2144066-1,AUSTRALIA,11/23/2021,206,Global Meat Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,46,Invalid Shipping Mark,,Missing Shipping Mark
2144066-3,AUSTRALIA,11/23/2021,206,Global Meat Exports Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Goat,138,Invalid Shipping Mark,,Missing Shipping Mark
2033686-1,BRAZIL,11/23/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2112204-2,AUSTRALIA,11/23/2021,67,Thomas Borthwick & Sons (Australia) Pty Ltd,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
2128400-1,BRAZIL,11/23/2021,2500,Minerva S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Missing Shipping Mark
2008311-1,NEW ZEALAND,11/23/2021,ME9,Silver Fern Farms Limited - Hawera,03C,Raw intact beef,Beef,94,Shipping Damage,,"Torn, exposed"
2164189-2,MEXICO,11/23/2021,645,"Ganaderia y Rastro de la Laguna, S.A. de C.V.",03B,"Raw ground, comminuted, or otherwise non-intact beef",Beef,71,Invalid Shipping Mark,,Missing Shipping Mark
2131013-1,AUSTRALIA,11/23/2021,291,Teys Australia Southern Pty Ltd,03C,Raw intact beef,Beef,29,Shipping Damage,,"Crushed, blood stained"
2130990-1,AUSTRALIA,11/23/2021,399,Teys Australia Biloela Pty Ltd,03C,Raw intact beef,Beef,17379,Invalid Inspection Certificate,,Inspection certificate issues
2134207-1,AUSTRALIA,11/23/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2119317-4,AUSTRALIA,11/23/2021,282,Australian Lamb (Colac) Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,85,Shipping Damage,,"Torn, exposed"
2132247-1,ARGENTINA,11/23/2021,13,Swift Argentina SA,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Shipping Mark Invalid
2132248-1,ARGENTINA,11/23/2021,13,Swift Argentina SA,03C,Raw intact beef,Beef,120,Other,,Misc. Labeling Issue
2141372-1,ARGENTINA,11/23/2021,13,Swift Argentina SA,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Illegible Shipping Marks
2141371-1,ARGENTINA,11/23/2021,13,Swift Argentina SA,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2143773-1,BRAZIL,11/23/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,60,Invalid Shipping Mark,,Shipping Mark Invalid
2168902-1,CANADA,11/23/2021,484,"Aliments Asta, Inc.",03C,Raw intact pork,Pork,120,Failed Type of Inspection (Y)/ Invalid Inspection Certificate/ Invalid Shipping Mark/ Shipping Damage,Label Verification,"Container labeling issues/ Inspection certificate issues/ Missing Shipping Mark/ Torn, exposed"
2129666-2,CANADA,11/23/2021,136,Sungold Specialty Meats Ltd.,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Failed Type of Inspection (Y),Label Verification,Container labeling issues
2153437-1,NEW ZEALAND,11/24/2021,ME66,CMP Kokiri Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
2153438-1,AUSTRALIA,11/24/2021,4,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,120,Invalid Shipping Mark/ Shipping Damage,,"Missing Shipping Mark/ Torn, exposed"
2153439-1,AUSTRALIA,11/24/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
2170595-2,AUSTRALIA,11/24/2021,517,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,41,Invalid Shipping Mark,,Missing Shipping Mark
2000948-1,SPAIN,11/24/2021,45,Noel Alimentaria S.A.U. (Cold Store),03E,RTE dried meat,Pork,18989,Invalid Inspection Certificate,,Inspection certificate issues
2000949-1,SPAIN,11/24/2021,45,Noel Alimentaria S.A.U. (Cold Store),03E,RTE dried meat,Pork,18773,Invalid Inspection Certificate,,Inspection certificate issues
2152539-1,BRAZIL,11/24/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2101408-1,URUGUAY,11/24/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,3446,Other,,Invalid Inspection Certificate
2101408-2,URUGUAY,11/24/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,11094,Other,,Invalid Inspection Certificate
2132170-3,IRELAND,11/24/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,52,Invalid Shipping Mark,,Missing Shipping Mark
2132170-5,IRELAND,11/24/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,42,Invalid Shipping Mark,,Missing Shipping Mark
2132170-6,IRELAND,11/24/2021,325,Liffey Meats (Cavan) UC T/A Liffey Meats,03C,Raw intact beef,Beef,45,Invalid Shipping Mark,,Missing Shipping Mark
2044054-3,URUGUAY,11/24/2021,344,Frigorifico San Jacinto (Nirea S.A.),03C,"Raw intact meat - other (sheep, goat)",Lamb,220,Other,,Misc. Labeling Issue
2118796-1,BRAZIL,11/24/2021,3548,Cooperativa Central Aurora Alimentos,03C,Raw intact pork,Pork,55,Invalid Shipping Mark,,Missing Shipping Mark
2074002-1,DENMARK,11/24/2021,71,Danish Crown,03C,Raw intact pork,Pork,50,Invalid Shipping Mark,,Missing Shipping Mark
2149356-3,AUSTRALIA,11/24/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,52,Shipping Damage,,"Torn, exposed"
2149356-4,AUSTRALIA,11/24/2021,180,Midfield Meat International Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Mutton,45,Shipping Damage,,"Torn, exposed"
2033517-1,BRAZIL,11/24/2021,4400,JBS S/A,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2131781-1,NEW ZEALAND,11/24/2021,ME127,UBP Limited,03C,Raw intact beef,Beef,120,Shipping Damage,,"Torn, exposed"
2170718-1,BRAZIL,11/24/2021,4238,Marfrig Global Foods S.A.,03C,Raw intact beef,Beef,60,Shipping Damage,,"Torn, exposed"
2072300-1,UNITED KINGDOM,11/24/2021,9052,Karro Food Group,03C,Raw intact pork,Pork,1000,Failed Type of Inspection (Y)/ Other,Label Verification,Container labeling issues/ Other
2130220-2,AUSTRALIA,11/24/2021,180,Midfield Meat International Pty Ltd,03C,Raw intact beef,Beef,300,Invalid Shipping Mark/ Shipping Damage,,"Illegible Shipping Marks/ Torn, exposed"
2004674-2,URUGUAY,11/24/2021,2,Establecimientos Colonia S.A.,03C,Raw intact beef,Beef,166,Invalid Shipping Mark,,Missing Shipping Mark
2170273-1,MEXICO,11/24/2021,511,"Carnes Selectas de Mexico, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2170273-2,MEXICO,11/24/2021,511,"Carnes Selectas de Mexico, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2170273-3,MEXICO,11/24/2021,511,"Carnes Selectas de Mexico, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2165751-1,MEXICO,11/24/2021,100,"Sigma Alimentos Noreste, S.A. de C.V.",03G,RTE fully-cooked poultry,Chicken,37381,Invalid Inspection Certificate,,Inspection certificate issues
2146006-1,NETHERLANDS,11/24/2021,NL939EG,T. Boer en Zonen B.V.,03C,Raw intact beef,Veal,20,Shipping Damage,,"Torn, exposed"
2170273-4,MEXICO,11/24/2021,511,"Carnes Selectas de Mexico, S.A. de C.V.",03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2162088-1,AUSTRALIA,11/24/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
2162088-3,AUSTRALIA,11/24/2021,394,Thomas Food International Tamworth Pty Ltd,03C,"Raw intact meat - other (sheep, goat)",Lamb,0,Invalid Shipping Mark,,Missing Shipping Mark
2153445-1,AUSTRALIA,11/24/2021,7,Tey's Australia Meat Group Pty Ltd,03C,Raw intact beef,Beef,180,Shipping Damage,,"Torn, exposed"
2170646-1,NEW ZEALAND,11/24/2021,ME26,Silver Fern Farms Limited- Finegand,03C,Raw intact beef,Beef,600,Shipping Damage,,"Torn, exposed"
2073973-1,DENMARK,11/24/2021,320,Danish Crown,03C,Raw intact pork,Pork,43,Invalid Shipping Mark,,Missing Shipping Mark
2158305-1,ITALY,11/24/2021,478L,Principe Di S. Daniele SPA,03G,RTE fully-cooked meat,Pork,15,Shipping Damage,,"Torn, exposed"
2108824-1,THE PEOPLE'S REPUBLIC OF CHINA,11/24/2021,4200/02041,"Changyang Qingjiang Pengbo Development Co., ltd.",03C,Raw intact meat - other,Siluriformes - Ictaluridae (Catfish),42037,Invalid Shipping Mark,,Missing Shipping Mark
2000950-1,SPAIN,11/24/2021,45,Noel Alimentaria S.A.U. (Cold Store),03E,RTE dried meat,Pork,19847,Invalid Inspection Certificate,,Inspection certificate issues
2156444-2,UNITED KINGDOM,11/24/2021,2060,Karro Food Ltd,03C,Raw intact pork,Pork,53,Shipping Damage,,"Torn, exposed"
2070091-1,AUSTRALIA,11/24/2021,235,JBS Australia Pty Ltd,03C,Raw intact beef,Beef,46,Shipping Damage,,"Crushed, blood stained"
2168118-4,CANADA,11/24/2021,1,Maple Leaf Foods Inc./Les Aliments Maple Leaf Inc.,03G,RTE fully-cooked meat,Pork,45,Failed Type of Inspection (Y)/ Other,Label Verification,Container labeling issues/ Misc. Labeling Issue
2117701-1,URUGUAY,11/24/2021,439,Frigorifico Matadero Pando (Ontilcor S.A.),03C,Raw intact beef,Beef,2154,Shipping Damage,,"Torn, exposed"
2142538-1,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-2,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-3,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-4,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-5,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-6,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-7,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-8,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-9,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-10,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-11,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-12,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-13,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-14,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-15,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-16,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-17,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-18,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-19,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-21,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-22,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-23,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-24,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-25,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-26,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-27,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-28,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-29,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-30,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-31,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-32,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-33,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-34,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-35,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-36,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-37,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-38,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-39,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-40,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-41,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-42,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-43,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-44,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
2142538-45,ARGENTINA,11/24/2021,1918,Ecocarnes S.A.,03C,Raw intact beef,Beef,0,Invalid Inspection Certificate,,Inspection certificate issues
