EstNumber,Company,Street,City,State,Zip,Phone,GrantDate,Activities,DBAs
M8959 + P8959 + V8959,Dombrovski Meats Co. Inc.,425 Dewey Street,Foley,MN,56329,(320) 968-6275,01/28/2015,"Meat Processing, Poultry Processing, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Processing - Rabbit",Dombrovski Craft Meats; Dombrovski Meats; Dombrovski Meats Co.
M8971 + P8971 + V8971,R Four Meats,24 S.W. 2nd Street,Chatfield,MN,55923,(507) 867-4180,12/17/2015,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M8979 + P8979,New Geneva Meats & Processing Inc.,103 E. Main,Geneva,MN,56035,(507) 256-7214,03/15/2013,"Meat Processing, Meat Slaughter, Poultry Processing",Dean's Smoke Shack; Geneva Meats
M8983 + P8983,"Sysco Western Minnesota, Inc.",809 SE Highway 10,St Cloud,MN,56304,(320) 257-3200,08/13/2018,"Meat Processing, Poultry Processing",Appert's Foodservice; Buckhead Meats of Minnesota
M8984 + P8984,"Provimi Foods, Inc.",W2103 County Road VV,Seymour,WI,54165,(920) 833-6861,01/22/2018,"Meat Processing, Poultry Processing",
M8984A + P8984A,"Provimi Foods, Inc.",920 East Pearl Street,Seymour,WI,54165,(920) 833-6861,01/22/2018,"Meat Processing, Poultry Processing",
M8993 + P8993 + V8993,"Amylu Foods, LLC",1400 W 44th Street,Chicago,IL,60609,(312) 829-2250,03/24/2021,"Identification - Meat, Meat Processing, Poultry Processing, Voluntary Processing - Meat",Amylu Foods; Leon's Sausage; Sausages by Amylu; Slotkowski
M8997 + P8997,Fraboni Sausage,1202 13th Avenue East,Hibbing,MN,55746,(218) 263-5074,11/12/2003,"Meat Processing, Poultry Processing",
M8999 + P8999,Rochester Meat Company,1825 7th St. N.W.,Rochester,MN,55901,(507) 529-4700,09/05/2007,"Meat Processing, Poultry Processing",Directional Foods
M89A + P9147,The Hillshire Brands Company,1099 Bob Huber Drive,Alexandria,KY,41001,(859) 635-0444,03/07/2019,"Meat Processing, Poultry Processing","Bryan Foods, Inc; Quality Packing Co"
M9004 + P9004 + V9004,"California State University, Chico",311 Nicholas C. Schouten Lane,Chico,CA,95928,(916) 898-6028,03/21/2000,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M9006 + P9006,Value Meats,2959 E. 50th St.,Vernon,CA,90058,(213) 587-0620,12/21/2016,"Meat Processing, Poultry Processing",Charlie's Pride
M9007 + P9007,Badalamente Sausage Co.,374 Willow St.,San Jose,CA,95110,(408) 294-7115,12/07/1990,"Meat Processing, Poultry Processing",
M9008 + P9008,Johansen's Quality Meats,4476 County Road P,Orland,CA,95963,(530) 865-2103,06/13/2017,"Meat Processing, Meat Slaughter",
M901 + P901 + V901,"IQRA Meat Packaging, LLC",56 Railroad Avenue,Stamford,NY,12167,(516) 491-4207,09/28/2021,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat, Voluntary Slaughter - Rabbit","Eklund Processing, Inc."
M9014 + P9014,Galant Food Company,735 Fremont Avenue,San Leandro,CA,94577,(510) 614-7150,05/07/2013,"Meat Processing, Poultry Processing",Enzo's Calzones; Galinas Piroshki; Paramount Piroshki
M9018 + P9018,Nestle Prepared Foods Company,815 W Ray Klauck Way,Springville,UT,84663,(801) 491-8621,03/29/2018,"Meat Processing, Poultry Processing",Lean Cuisine; Nestle; Nestle Brands Company; Nestle Brands Foodservice Company; Nestle Prepared Foods Company; Nestle Prepared Foods Company Inc; Nestle USA Inc; Stouffer Foods; Stouffer's
M9026 + P9026,Reeds Gourmet Meat Co.,1210 66th street,Sacramento,CA,95819,(916) 638-0733,02/25/2013,"Meat Processing, Poultry Processing",Reeds Meats
M9027 + P9027,NEW YORK STYLE SAUSAGE CO.,1228 REAMWOOD AVE.,SUNNYVALE,CA,94089,(408) 745-7675,09/13/2018,"Meat Processing, Poultry Processing",
M9034 + P9034,"Wei-Chuan USA, Inc.",6655 S. Garfield Avenue,Bell Gardens,CA,90201,(562) 372-2020,03/17/2010,"Meat Processing, Poultry Processing",
M904 + P9574B + V904,"Dietz & Watson, Inc.",3330 Henry G. Parks Jr. Circle,Baltimore,MD,21215,(410) 664-7400,08/07/2019,"Certification - Export, Meat Processing, Poultry Processing",
M9041 + P9041 + V9041,Sturgis Meats LLC,2250 Park Ave.,Sturgis,SD,57785,(605) 347-2626,10/01/2009,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Sturgis Meat LLC
M9057 + P9057,"Kershenstine's Beef Jerky, Inc.",550 Industrial Park Road,Eupora,MS,39744,(601) 258-2049,09/22/2017,"Meat Processing, Poultry Processing",
M9059 + P9059 + V9059,Starnes Wholesale LLC,3550 Starnes Ave.,Paducah,KY,42003,(270) 441-7060,07/01/2021,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M9062 + P9062,"Walker Foods, Inc.",1164 Stripling Chapel Rd,Carrollton,GA,30117,(770) 836-0054,04/03/2019,"Meat Processing, Poultry Processing","Duffey Foods, Inc."
M9064 + P9064,Nashville Restaurant Supply,1020 Indurstrial Drive,Pleasant View,TN,37146,(615) 876-2027,10/06/2003,"Meat Processing, Poultry Processing",Nashville Resturant Supply
M9065 + P9065 + V9065,"Wampler's Farm Sausage Company, Inc.",781 Highway 70 W,Lenoir City,TN,37771,(865) 986-2056,06/17/2021,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat, Voluntary Slaughter - Poultry",
M907 + P907 + V907,"Meritage Soups, LLC",18211 N.E. 68th Street,Redmond,WA,98052,(425) 284-6866,10/04/2012,Meat Processing,
M9070 + P9070,Kraft Heinz Foods Company,3704 Louis Rich Road,Newberry,SC,29108,(803) 276-5015,11/24/2015,"Meat Processing, Poultry Processing, Poultry Slaughter","Kraft Foods Group, Inc.; Kraft Heinz Company"
M9085 + V9085,Snapps Ferry Packing Company,5900 East Andrew Johnson Highway,Afton,TN,37616,(423) 638-7001,04/18/2013,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M9091,Tom King & Son Packing Company,3066 Highway 570 West,Summit,MS,39666,(601) 684-4257,04/15/1997,Meat Processing,
M9101 + P9101,Chirpy's Barbecue,236 Chirpy Road,Bennett,NC,27208,(336) 581-3339,08/28/2015,"Meat Processing, Poultry Processing",Chirpy's Barbecue
M9112 + P9112,Hometown Butcher,275 Jack Smith Road,Columbia,KY,42728,(270) 384-4024,02/25/2020,"Meat Processing, Meat Slaughter",
M9120 + P9120,Homestead Egg Company Inc,717 Willow Avenue,Knoxville,TN,37915,(865) 524-3026,02/09/2017,Poultry Processing,Hillbilly Pride; Homestead Inc
M9122 + P9122,Prime Food Inc.,6 South Drive,Cartersville,GA,30120,(404) 386-3773,09/03/2014,"Meat Processing, Poultry Processing",
M9127,Smoky Mountain Country Hams,2603 Highway 411,Madisonville,TN,37354,(423) 442-5003,12/07/2004,Meat Processing,
M913 + P913,Mello's North End Manufacturers,63 North Court St,Fall River,MA,2720,(508) 673-2320,06/20/1991,"Meat Processing, Poultry Processing",
M9132 + P9132,Conagra Brands,96 Pinnacle Dr,Jackson,TN,38301,(731) 574-2551,03/23/2021,"Meat Processing, Poultry Processing",
M9133,Circle R Beef Inc.,2219 Mercator Drive,Orlando,FL,32807,(407) 677-5944,11/04/2020,Meat Processing,
M9136 + P9136,House Of Raeford Farms,1344 Battery Park Road,Nesmith,SC,29580,(843) 558-9461,05/24/2002,"Meat Processing, Poultry Processing",
M9141 + P9141,Koch Foods of Mississippi,921 South Main Street,Forest,MS,39074,(601) 732-8911,06/25/2021,"Meat Processing, Poultry Processing",
M9145H + P9145H,Flanders Provision,2001 Summit Ave,Hastings,NE,68901,(904) 524-8888,12/26/2017,"Meat Processing, Poultry Processing",
M9156S + P9156S,R. L. Zeigler Co. Inc.,One Plant Street,Selma,AL,36702,(334) 874-9041,11/22/2004,"Meat Processing, Poultry Processing",
M9165 + P9165,Gold Creek Foods LLC,2076 Memorial Park Road,Gainesville,GA,30504,(678) 928-6960,09/27/2021,"Meat Processing, Poultry Processing",Prime Pak
M9167A,Golden State Foods,4801 Northpark Drive,Opelika,AL,36801,(678) 509-7316,05/16/2017,Meat Processing,Golden State Foods
M9168,"Central Snacks, Inc.",1700 North Pearl Street,Carthage,MS,39051,(601) 267-3112,04/06/2020,Meat Processing,Central Snacks; Dirty South BBQ; Dixon Skins; Dixon's Pork Skins; Dixon's/Central; Killingsworth Country Pork Skins; Porkins
M9173 + P9173 + V9173,"Brooksville Meat Fabrication Center, Inc.",80 Liberty Drive,Brooksville,KY,41004,(606) 735-2250,08/11/2004,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M9179 + P9179,"Uncle John's Pride, LLC",10250 Woodberry Rd.,Tampa,FL,33619,(813) 685-7745,07/28/2015,"Meat Processing, Poultry Processing",Atlanta Sausage Company; Peppino Foods; Uncle John's Pride
M9185 + P9185,"Sunset Farm Foods, Inc.",1201 Madison Hwy,Valdosta,GA,31603,(229) 242-2952,10/15/2010,"Meat Processing, Poultry Processing",
M9196 + P9196,"Walker Meats, Inc.",821 Tyus-Carrollton Rd.,Carrollton,GA,30117,(770) 834-8171,04/03/2019,"Meat Processing, Poultry Processing",
M9199 + P9199,SCR International Corp.,266 Bethesda Church Road,Fairmont,NC,28340,(910) 628-6365,01/06/2017,"Meat Processing, Meat Slaughter, Poultry Processing",
M92 + P6828,Fresh Mark Canton,1600 Harmont Ave.,Canton,OH,44711,(330) 455-5253,06/06/1994,"Meat Processing, Poultry Processing",Fresh Mark Inc; Stark Provision Company; Sugardale Foods; Superior Brands Meats
M9200 + P9200 + V9200,Chalet Market Inc.,6410 Jackrabbit Lane,Belgrade,MT,59714,(406) 388-4687,02/22/2012,"Meat Processing, Poultry Processing, Voluntary Processing - Meat, Voluntary Processing - Poultry",
M9201 + P9201,Hill Meat Company,P.O. Box 1066,Pendleton,OR,97801,(541) 276-7521,09/13/2001,Meat Processing,
M9202 + P9202 + V9202,"Columbia Empire Meat Co., Inc.",3820 SE Milwaukie Avenue,Portland,OR,97202,(503) 234-9926,06/17/2003,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M9211 + P9211,"T & T Foods, Inc.",3080 E 50th St.,Vernon,CA,90058,(323) 588-2158,06/24/2020,"Meat Processing, Poultry Processing",Colonel Lee's Enterprises
M9221 + P9221 + V9221,Childers Meat Company,29476 Airport Road,Eugene,OR,97402,(541) 689-8365,01/30/2017,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",
M9223 + P9223,Clark Meat Science Laboratory,3260 SW Campus Way,Corvallis,OR,97331,(541) 737-1927,02/18/2015,"Meat Processing, Meat Slaughter",
M9228 + P9228 + V9228,Carlton Packing Company,10600 NW Westside Road,Carlton,OR,97111,(503) 852-7166,09/30/2014,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Carlton Farms
M9230 + P9230,"Dayton Natural Meats, LLC",13245 SE Fletcher Road,Dayton,OR,97114,(503) 864-2237,03/20/2013,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M9237 + P9237 + V9237,Reed and Hertig Packing Co,90266 Hwy 101,Warrenton,OR,97146,(503) 861-2237,11/05/1999,"Meat Processing, Poultry Processing, Voluntary Processing - Poultry",
M9241 + P9241,Boyd's Wholesale Meats,234 N. Spring Street,Klamath Falls,OR,97601,(503) 884-8189,05/09/1979,"Meat Processing, Poultry Processing",
M9246 + P9246 + V9246,Crystal Creek Meats,5357 N. Umpqua Hwy,Roseburg,OR,97470,(541) 673-9946,05/12/2015,"Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Processing - Poultry, Voluntary Slaughter - Meat",
M924A + P5758,Cargill Meat Solutions Corporation,4700 N. 132nd Street,Butler,WI,53007,(262) 781-2400,04/12/2019,"Meat Processing, Poultry Processing",Cargill Value Added Meats
M9251 + P9251 + V9251,Family Loompya Corporation,2525 Southport Way,National City,CA,91950,(619) 477-1999,02/23/1999,"Certification - Export, Meat Processing, Poultry Processing",
M9252 + P9252 + V9252,"Bright Oak Meats, Inc.",91167 Marcola Road,Springfield,OR,97478,(541) 746-4411,10/21/2008,"Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Mohawk Valley Meats
M926,"American Soy Products, Inc.",1474 North Woodland Drive,Saline,MI,48176,(734) 429-2310,08/16/2018,Meat Processing,
M9264 + P9264 + V9264,Malco's Buxton Meat Co,37101 SE Dunn Road,Sandy,OR,97055,(503) 668-4838,01/09/2012,"Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",
M9265 + P9265,Marks Meat Inc.,10290 S. Mulino Road,Canby,OR,97013,(503) 266-2048,03/15/2019,"Meat Processing, Meat Slaughter, Poultry Processing",
M9267B + P9267B + V9267B,BrucePac,380 S. Pacific Hwy,Woodburn,OR,97071,(503) 874-3000,07/01/2021,"Certification - Export, Meat Processing, Poultry Processing",
M9268 + V9268,"Tyson Fresh Meats, Inc.",13983 Dodd Road,Wallula,WA,99363,(509) 543-4230,08/31/2017,"Identification - Meat, Meat Processing, Meat Slaughter","IBP, Inc.; Tyson Foods, Inc."
M9270 + P9270 + V9270,Mt. Angel Meat Co.,11771 Bull Run Road,Mount Angel,OR,97362,(503) 845-6112,09/15/1999,"Meat Processing, Meat Slaughter, Voluntary Processing - Poultry, Voluntary Slaughter - Poultry",
M9271 + P9271,Jacobellis Meat & Sausage,410 S. Varney st,Burbank,CA,91502,(818) 843-3940,03/02/1988,"Meat Processing, Poultry Processing",
M9287 + V9287,"Ovid Meat Co., LLC",115 Main Street,Ovid,CO,80744,(970) 463-5657,04/17/2012,"Certification - Export, Meat Processing, Meat Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat",D & L Meat Co.
M9288 + P9288,Gaylord's Meats Co.,1100 E. Ash,Fullerton,CA,92831,(714) 526-2278,05/27/2016,"Meat Processing, Poultry Processing",
M9289 + P9289,Oregon Beef Co.,1762 S. Adams Drive,Madras,OR,97741,(541) 475-2288,03/01/1995,"Meat Processing, Meat Slaughter",
M9295 + P9295,"Tillamook Country Smoker, LLC",8250 Warren Street,Bay City,OR,97107,(503) 842-2606,06/02/2017,"Meat Processing, Poultry Processing","f/k/a Tillamook Country Smoker, Inc."
M9295A + P9295A,"Tillamook Country Smoker, LLC",1510 First Street,Tillamook,OR,97141,(888) 987-4233,11/08/2019,"Meat Processing, Poultry Processing",
M9295B + P9295B,Tillamook Country Smoker,10750 Denny St,Beaverton,OR,97008,(888) 987-4233,10/31/2019,"Meat Processing, Poultry Processing",
M9301 + P9301 + V9301,Jake's Wholesale Meats,4600 St. John's Road,Vancouver,WA,98661,(360) 695-7831,11/26/2008,"Meat Processing, Poultry Processing, Voluntary Processing - Meat",Eastside Meat Co.
M9305 + P9305,"Ray's Wholesale Meats, Inc.",2113 S. 3rd. Avenue,Union Gap,WA,98903,(509) 575-0729,11/07/2007,"Meat Processing, Poultry Processing",
M9307 + P9307,New Royal Meat Co.,18019 Aurora Avenue North,Shoreline,WA,98133,(206) 725-4199,07/08/2010,Meat Processing,New Royal Meat Co.; Oriental Kitchen; Royal Meat Co.
M9311 + P9311,Better Meat Inc.,305 NW 82nd Street,Seattle,WA,98117,(206) 783-0570,05/26/2006,"Meat Processing, Poultry Processing",
M9314 + P9314,"Claus Meats, Inc.",2300 Cornwall Avenue,Bellingham,WA,98225,(360) 733-4770,01/02/1996,"Meat Processing, Poultry Processing",
M9317 + P9317,Cutting Edge Meats,10107 South Tacoma Way,Lakewood,WA,98499,(253) 283-7212,03/29/2013,Meat Processing,
M932 + P932,West Georgia Processing,3947 Hwy 27 N.,Carrollton,GA,30117,(770) 832-6551,09/18/2012,"Meat Processing, Meat Slaughter",
M9322,Washington State University,Animal Science Department,Pullman,WA,99163,(509) 335-4353,05/12/1980,"Meat Processing, Meat Slaughter",
M9324,El Grande Chicharron,339 South C Street,Madera,CA,93637,(209) 674-3170,07/09/1991,Meat Processing,
M9325 + P9325,"ZYK Enterprises, Inc.",17658 W. Snoqualmie River Road NE,Duvall,WA,98019,(425) 788-1128,05/10/2012,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",S.I. Bukhari/Waqas Muslim Slaughterhouse
M934,Charlie DiMaria & Sons,9531 Beverly Road,Pico Rivera,CA,90660,(562) 908-1089,06/24/2021,"Meat Processing, Meat Slaughter",ADD Enterprises Inc.; Charlie DiMaria & Son; Charlie Pride; DiMaria Cattle; DiMaria Pride; Hearst Ranch; Manning Beef LLC; Manning's Natural Beef
M9344 + P9344,Los Hernandez Tamales LLC,8100 Postma Road,Moxee,WA,98936,(509) 571-1394,01/22/2019,"Meat Processing, Poultry Processing",
M9357,Mamula Meat Packing Co.,598 Chapel Road,Aliquippa,PA,15001,(724) 375-5845,01/11/2012,"Meat Processing, Meat Slaughter",
M9364 + P9364,Korte & Company Inc,364 East Berwick Street,Easton,PA,18042,(610) 253-9141,05/17/2000,"Meat Processing, Poultry Processing",
M9366 + P9366 + V9366,McDonald Meats Inc.,10445 W. Ridge Road,Girard,PA,16417,(814) 774-3507,06/27/2017,"Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat",Grettler Meats
M9368,"Zrile Bros. Packing Co.,Inc",4129 Longview Road,West Middlesex,PA,16159,(724) 528-9246,10/13/2016,"Meat Processing, Meat Slaughter",
M9369 + P9369,Alex Froehlich Packing Company,77 D Street Ext.,Johnstown,PA,15906,(814) 535-7694,02/21/2020,"Meat Processing, Meat Slaughter",
M9370 + P9370,"Smith Provision Company, Inc",1890 West 20th Street,Erie,PA,16502,(814) 459-0488,07/13/2015,"Meat Processing, Poultry Processing",
M9373,Peachey Foods & Locker LLC,85 South Penn Street,Belleville,PA,17004,(717) 935-2194,02/19/2020,"Meat Processing, Meat Slaughter",
M9379 + P9379,K. Heeps Inc,721 North 17th Street,Allentown,PA,18104,(610) 530-8010,08/22/2012,"Meat Processing, Poultry Processing",
M9379A + P9379A + V9379A,K. Heeps Inc,5239 Tilghman Street,Allentown,PA,18104,(610) 530-8010,07/14/2021,"Certification - Export, Meat Processing, Poultry Processing",
M9380 + P9380,Bierly's Meat Market,189 Long Street,Spring Mills,PA,16875,(814) 422-8841,11/10/2014,"Meat Processing, Meat Slaughter, Poultry Processing",
M9381,Stephen G. Manieri,10 Heydts School House Road,Bechtelsville,PA,19505,(610) 367-2789,10/08/2020,"Meat Processing, Meat Slaughter",
M9382,Pennsylvania Packinghouse,1600 Weirich Avenue,Washington,PA,15301,(724) 222-5476,09/09/2019,"Meat Processing, Meat Slaughter",
M9385 + P9385,Green Valley Packing Co Inc,2992 Green Valley Road,Claysville,PA,15323,(724) 948-3321,01/24/2014,"Meat Processing, Poultry Processing",Albert's; Lamperts; McGinnis Sisters; Pacific Mountain Farms; Smoking Oak; Sunseri ; Tambellini; Weiss Brand
M9387 + P9387,FED-RICK VEAL CO.,125 SUTTON STREET,PROVIDENCE,RI,2903,(401) 751-9534,08/09/2001,"Meat Processing, Poultry Processing",
M938A + P938A,Tj's Pizza Company,150 Shepley Dr.,St. Louis,MO,63137,(314) 869-9404,08/17/2021,"Meat Processing, Poultry Processing",
M939 + P939,Arlindo Catering Inc.,410 Adams Street,Newark,NJ,7114,(973) 578-4400,09/26/2017,"Meat Processing, Poultry Processing",
M9398A,Dixon Meats,5517 Parkwood Road,Shelocta,PA,15774,(724) 726-5732,05/13/2013,"Meat Processing, Meat Slaughter",
M9400 + P9400,Cargill Meat Solutions,1252 Route 706,Wyalusing,PA,18853,(570) 746-3000,04/12/2019,"Meat Processing, Meat Slaughter, Poultry Processing",Cargill Regional Beef
M9403,Gillo Brothers,7015 Rt 553 Highway,Clymer,PA,15728,(724) 254-4845,01/03/2002,"Meat Processing, Meat Slaughter",
M9410 + P9410,Cunningham Meats LLC,81 Cunningham Road,Indiana,PA,15701,(724) 465-8862,06/15/2017,"Meat Processing, Meat Slaughter, Poultry Processing",
M9423 + P9423,Steely Meats,54 Mt. Pleasant Rd,Fayetteville,PA,17222,(717) 352-3272,12/27/2000,"Meat Processing, Meat Slaughter",
M9424 + P9424,"Kunzler & Co., Inc.",640-662 Manor Street,Lancaster,PA,17603,(717) 299-6301,04/30/2008,"Meat Processing, Poultry Processing","CCK Inc.; Juniata Packing Co., Inc."
M9428 + P9428,East Conway Beef & Pork Processing,3097 East Conway Road,East Conway,NH,3813,(603) 452-8241,06/03/2014,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter",
M9432 + P9432 + V9432,US Foods Inc,1115 Garden Street,Greensburg,PA,15601,(800) 442-6404,02/26/2015,"Certification - Export, Meat Processing",Stock Yards Greensburg; Stock Yards of Greensburg
M9434 + P9434,European American Sausage Corp.,1242 N. American Street,Philadelphia,PA,19122,(215) 232-1716,04/02/2012,"Meat Processing, Poultry Processing",
M9442 + P9442,Groff Meats Inc.,33 North Market Street,Elizabethtown,PA,17022,(717) 367-1246,07/21/2014,"Meat Processing, Meat Slaughter, Poultry Processing",
M9447,RI Provision Co.,5 Day Street,Johnston,RI,2919,(401) 831-0815,09/07/2016,Meat Processing,
M9457 + P9457 + V9457,Rendulic Packing Company,800 Manning Avenue,McKeesport,PA,15132,(412) 678-9541,10/11/2017,"Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing",MRG
M9465 + P9862,Herfurth Brothers Inc,1220 Interchange Road,Gilbert,PA,18331,(610) 681-4515,03/16/2018,"Meat Processing, Meat Slaughter",
M9475,William Fred Miller/Miller Distributing Inc.,224 South Mill Street,St. Clair,PA,17970,(570) 429-1191,03/01/2010,Meat Processing,
M9476 + P9476,Fox Country Smoke House LLC,164 Brier Bush Road,Canterbury,NH,3224,(603) 783-4405,12/13/2018,Meat Processing,Fox Country Smoke House LLC
M948,"Whip City Jerky, LLC",271 Elm Street,Westfield,MA,1085,(413) 568-2050,05/17/2016,Meat Processing,
M9482,Espey's Meat Market,319 Espey Market Lane,Scottdale,PA,15683,(724) 887-3226,07/11/2012,"Meat Processing, Meat Slaughter",
M9489,Werry's Provision,360 West Overton Road,Scottdale,PA,15683,(724) 887-8719,09/01/2020,"Meat Processing, Meat Slaughter",
M948A,Whip City Jerky,265 Elm Street,Westfield,MA,1085,(413) 568-2050,04/22/2021,Meat Processing,
M9491 + P9491,"Silver Star Meats, Inc.",1020 Montour West Industrial Blvd,Coraopolis,PA,15108,(412) 777-4466,11/20/2019,"Meat Processing, Poultry Processing",Alfrey's Sausage Company Inc.; Amish Farm Brand; Overbrook Brand
M9492,Bucher Meats,391 Tillietown Road,Biglerville,PA,17307,(717) 334-3575,03/15/2011,"Meat Processing, Meat Slaughter",
M9495 + P9495,TASE-RITE CO. INC.,1211 KINGSTOWN ROAD,PEACE DALE,RI,2883,(401) 783-7300,03/19/1993,"Meat Processing, Poultry Processing",
M950 + P950,Texas Best Protein,5775 FM 2201,Santo,TX,76472,(940) 769-2028,07/23/2013,"Meat Processing, Meat Slaughter, Poultry Processing",Farm to Market Foods; Kennedy Sausage Company
M9503 + P9503,Rocca's Italian Foods,520 South Mill Street,New Castle,PA,16105,(724) 654-3344,01/10/2009,"Meat Processing, Poultry Processing",
M9505 + P9505,B & M Provisions Co.,1040 N Graham Street,Allentown,PA,18109,(610) 434-9611,06/18/2018,"Meat Processing, Poultry Processing",
M9508 + P9508,B&P Quality Meats,Bridge and Railroad Street,Hunker,PA,15639,(724) 925-3910,04/25/2017,"Meat Processing, Poultry Processing",
M9515 + P9515,"Elk Provision Co., Inc.",1260 Clinton Street,Buffalo,NY,14206,(716) 825-5555,08/11/2021,"Meat Processing, Poultry Processing",
M9516 + P9516,A. Altieri & Sons,318 East Airy Street,Norristown,PA,19401,(610) 275-3437,08/12/2008,"Meat Processing, Poultry Processing",
M952,"BEF Foods, Inc.",200 North Wolcott Street,Hillsdale,MI,49242,(517) 437-3349,10/16/2020,"Meat Processing, Meat Slaughter",
M9520 + P9520,"Leidys, Inc.",266 West Cherry Lane,Souderton,PA,18964,(215) 723-4606,10/11/2016,"Meat Processing, Meat Slaughter, Poultry Processing","Alderfer, LLC; ALL Holding Company, LLC"
M9532 + P9532,Graziano Gourmet Foods,797 Charles Street,Providence,RI,2904,(401) 521-7378,03/11/2015,"Meat Processing, Poultry Processing",Graziano Sausage
M9538 + P9538,"Ken Weaver Meats, Inc.",47 North Street,Wellsville,PA,17365,(717) 432-4146,12/18/2012,"Meat Processing, Poultry Processing",
M954 + P954,Buona Vita Inc.,1 S. Industrial Boulevard,Bridgeton,NJ,8302,(609) 453-7972,05/17/2012,"Meat Processing, Poultry Processing",
M9542 + P9542 + V9542,"Lemay and Sons Beef, LLC",116 Daniel Plummer Road,Goffstown,NH,3045,(603) 622-0022,09/24/2019,"Meat Processing, Meat Slaughter, Poultry Processing, Poultry Slaughter, Voluntary Processing - Meat, Voluntary Slaughter - Meat",
M9548 + P9548,Wayne Nell & Sons Meats Inc.,2218 Baltimore Pike,East Berlin,PA,17316,(717) 259-9587,11/15/2017,"Meat Processing, Meat Slaughter, Poultry Processing",
M9551 + P8410,A.S.K. Foods Inc.,140 N. Locust Street,Palmyra,PA,17078,(717) 838-6357,10/23/2012,"Meat Processing, Poultry Processing",
M9552A,Murazzi Provision Co Inc,123 Eley Street,Kingston,PA,18704,(570) 287-1112,06/13/2011,Meat Processing,
M9553 + P9553,Godshall's Quality Meats Inc.,675 Mill Road,Telford,PA,18969,(215) 256-8867,11/30/2016,"Meat Processing, Poultry Processing",Daniel Weaver Company; Kutztown Bologna Co.
M9558,Vermont Livestock Slaughter & Processing Co. LLC,76 Depot Road,Ferrisburg,VT,5456,(802) 877-3421,06/03/2008,"Meat Processing, Meat Slaughter",
M9572 + P9572,Liberal Beef Company,10 West Terrace Street,Claremont,NH,3743,(603) 542-2391,03/04/1986,"Meat Processing, Poultry Processing",
M9573,Tri County Meats Inc.,151 Slaughterhouse Road,Claysburg,PA,16625,(814) 239-2465,09/30/2014,"Meat Processing, Meat Slaughter",
M9574 + P9574,Dietz and Watson Inc.,5701 Tacony Street,Philadelphia,PA,19135,(215) 531-9000,09/24/2020,"Meat Processing, Poultry Processing",Black Bear Enterprises; L&C Distributors; Parks Sausage
M9581,Livingston's Packing Co.,7648 Linesville Road,Jamestown,PA,16134,(724) 927-2255,05/17/2004,"Meat Processing, Meat Slaughter",
M9586 + P9586,"Original Philly Holdings, Inc.",520 East Hunting Park Avenue,Philadelphia,PA,19124,(215) 423-3333,11/25/2020,"Meat Processing, Poultry Processing","Original Philly Cheesesteak Co.; Original Philly Holdings, Inc.; Philadelphia Cheesesteak Company; Tyson Foods, Inc."
M9587 + P9587,Exceptional Foods Inc,9020 Pennsauken Highway,Pennsauken TWP,NJ,8110,(215) 739-8450,08/09/2017,"Meat Processing, Poultry Processing",
M959 + P959 + V959,Peninsula Foodservice,4167 LB McLeod Road,Orlando,FL,32811,(407) 999-0119,03/02/2018,"Certification - Export, Meat Processing, Poultry Processing",
M9590,George Farms,15 Pottsgrove Road,Danville,PA,17821,(570) 275-0239,02/20/2013,"Meat Processing, Meat Slaughter",
